,StateAbbr,CityName,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
95,TN,Memphis,4748000-47157002800,CrdPrv,18.6,16.7,20.7,"3,762","(35.1441769469, -89.9577818943)",4748000.0,47157002800.0
239,TN,Memphis,4748000-47157009100,CrdPrv,20.6,19.5,21.7,"2,567","(35.1726556405, -89.9098390627)",4748000.0,47157009100.0
266,TN,Memphis,4748000-47157001300,CrdPrv,21.8,20.4,23.2,"3,817","(35.1564324942, -89.950513944)",4748000.0,47157001300.0
407,TN,Memphis,4748000-47157001600,CrdPrv,12.6,10.8,13.9,"3,158","(35.1513601405, -89.989834221)",4748000.0,47157001600.0
629,TN,Memphis,4748000-47157006700,CrdPrv,20.1,18.5,21.6,"3,559","(35.1133985511, -89.9753653702)",4748000.0,47157006700.0
892,TN,Memphis,4748000-47157010620,CrdPrv,21.2,18.7,23.8,"4,026","(35.0579883428, -89.9272044875)",4748000.0,47157010620.0
903,TN,Memphis,4748000-47157007822,CrdPrv,17.6,16.0,19.2,"1,681","(35.0793525972, -90.0273275459)",4748000.0,47157007822.0
1123,TN,Memphis,4748000-47157022700,CrdPrv,17.8,15.7,19.9,"7,166","(35.0077659385, -90.0513630933)",4748000.0,47157022700.0
1832,TN,Memphis,4748000-47157009200,CrdPrv,9.8,9.0,10.7,"7,200","(35.1404563125, -89.8815533169)",4748000.0,47157009200.0
2608,TN,Memphis,4748000-47157021136,CrdPrv,10.7,9.6,11.9,"3,538","(35.1667465068, -89.7719744811)",4748000.0,47157021136.0
3097,TN,Memphis,4748000-47157003900,CrdPrv,19.2,17.2,21.4,"1,184","(35.144273538, -90.0385689276)",4748000.0,47157003900.0
3250,TN,Memphis,4748000-47157022500,CrdPrv,16.1,14.5,17.8,"4,641","(35.06122972, -90.0294839675)",4748000.0,47157022500.0
3716,TN,Memphis,4748000-47157010110,CrdPrv,23.9,21.5,26.4,"7,191","(35.2172696672, -90.0103725167)",4748000.0,47157010110.0
3845,TN,Memphis,4748000-47157021731,CrdPrv,18.2,16.3,19.9,"2,845","(35.0427235455, -89.8760678502)",4748000.0,47157021731.0
4045,TN,Memphis,4748000-47157000800,CrdPrv,21.9,19.8,24.2,"2,684","(35.1781691415, -89.9729093219)",4748000.0,47157000800.0
4126,TN,Memphis,4748000-47157003200,CrdPrv,13.1,11.6,14.7,"3,856","(35.1370960067, -89.9969196111)",4748000.0,47157003200.0
4128,TN,Memphis,4748000-47157010710,CrdPrv,15.3,13.9,16.8,"4,831","(35.071774825, -89.8954538734)",4748000.0,47157010710.0
4138,TN,Memphis,4748000-47157002900,CrdPrv,10.8,9.9,11.7,"4,637","(35.1370995779, -89.9359356299)",4748000.0,47157002900.0
4368,TN,Memphis,4748000-47157022410,CrdPrv,14.3,12.7,15.8,"6,011","(35.0074348396, -90.0929161936)",4748000.0,47157022410.0
4526,TN,Memphis,4748000-47157010630,CrdPrv,22.4,20.2,24.7,"4,452","(35.0573263176, -89.914540948)",4748000.0,47157010630.0
4632,TN,Memphis,4748000-47157010220,CrdPrv,17.6,15.8,19.6,"6,810","(35.2022322127, -89.9820262915)",4748000.0,47157010220.0
4667,TN,Memphis,4748000-47157021010,CrdPrv,12.0,11.1,13.1,"5,227","(35.2004562979, -89.7023398896)",4748000.0,47157021010.0
4952,TN,Memphis,4748000-47157021126,CrdPrv,11.1,9.9,12.3,"3,908","(35.1659834095, -89.8019186704)",4748000.0,47157021126.0
5374,TN,Memphis,4748000-47157021312,CrdPrv,10.2,9.1,11.5,"2,071","(35.1089780733, -89.8377386033)",4748000.0,47157021312.0
5446,TN,Memphis,4748000-47157022121,CrdPrv,12.6,11.0,14.4,"4,436","(35.0137997714, -90.0225038221)",4748000.0,47157022121.0
5533,TN,Memphis,4748000-47157005900,CrdPrv,19.6,18.0,21.4,"2,730","(35.1114619658, -90.0387182572)",4748000.0,47157005900.0
5582,TN,Memphis,4748000-47157002400,CrdPrv,18.8,17.2,20.6,"1,839","(35.1511491143, -90.0266476494)",4748000.0,47157002400.0
5878,TN,Memphis,4748000-47157006900,CrdPrv,17.4,15.6,19.1,"3,011","(35.0955278003, -89.9797815127)",4748000.0,47157006900.0
5887,TN,Memphis,4748000-47157008900,CrdPrv,21.7,20.8,22.7,"4,078","(35.1874351157, -89.9304592377)",4748000.0,47157008900.0
5913,TN,Memphis,4748000-47157022600,CrdPrv,17.4,15.6,19.4,"3,322","(35.019385467, -89.8996009007)",4748000.0,47157022600.0
5947,TN,Memphis,4748000-47157007000,CrdPrv,18.9,17.3,20.7,"3,324","(35.1116817488, -89.9561215566)",4748000.0,47157007000.0
6050,TN,Memphis,4748000-47157980400,CrdPrv,20.9,18.0,23.8,293,"(35.1360470308, -89.8330412203)",4748000.0,47157980400.0
6157,TN,Memphis,4748000-47157020521,CrdPrv,20.2,18.2,22.4,"3,693","(35.2467104209, -89.9536762671)",4748000.0,47157020521.0
6258,TN,Memphis,4748000-47157010610,CrdPrv,19.5,17.8,21.2,"7,051","(35.070949999, -89.9186649794)",4748000.0,47157010610.0
6610,TN,Memphis,4748000-47157021135,CrdPrv,12.6,11.6,13.8,"6,334","(35.1667753933, -89.7865710045)",4748000.0,47157021135.0
6725,TN,Memphis,4748000-47157007400,CrdPrv,14.7,12.7,16.7,"3,094","(35.1118643832, -89.9358941228)",4748000.0,47157007400.0
6886,TN,Memphis,4748000-47157001100,CrdPrv,19.5,18.1,20.8,"3,666","(35.1674039934, -89.941100819)",4748000.0,47157001100.0
6947,TN,Memphis,4748000-47157011700,CrdPrv,17.5,15.5,19.5,"1,693","(35.1167685536, -90.0649034322)",4748000.0,47157011700.0
