,Year,StateAbbr,StateDesc,CityName,GeographicLevel,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
16861,2016,TX,Texas,San Antonio,Census Tract,4865000-48029182102,CrdPrv,9.8,8.7,11.0,"1,684","(29.6709945854, -98.6391913637)",4865000.0,48029182102.0
16975,2016,TX,Texas,San Antonio,Census Tract,4865000-48029151301,CrdPrv,13.4,12.3,14.6,"5,368","(29.3472951131, -98.5256582636)",4865000.0,48029151301.0
16983,2016,TX,Texas,San Antonio,Census Tract,4865000-48029141700,CrdPrv,11.1,10.0,12.3,"1,191","(29.3348174846, -98.4018960084)",4865000.0,48029141700.0
17182,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181821,CrdPrv,10.0,9.0,11.2,"3,525","(29.5407125725, -98.623809028)",4865000.0,48029181821.0
17215,2016,TX,Texas,San Antonio,Census Tract,4865000-48029161600,CrdPrv,14.2,13.0,15.7,"3,958","(29.3931382329, -98.6173812373)",4865000.0,48029161600.0
17358,2016,TX,Texas,San Antonio,Census Tract,4865000-48029150400,CrdPrv,15.2,13.5,16.8,"3,974","(29.3879682037, -98.5173565939)",4865000.0,48029150400.0
17378,2016,TX,Texas,San Antonio,Census Tract,4865000-48029170700,CrdPrv,15.8,14.3,17.3,"4,870","(29.4432733713, -98.5507620046)",4865000.0,48029170700.0
17379,2016,TX,Texas,San Antonio,Census Tract,4865000-48029190501,CrdPrv,11.9,10.8,13.1,"2,878","(29.4601408055, -98.5199435982)",4865000.0,48029190501.0
17660,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181404,CrdPrv,8.3,7.6,9.1,"4,550","(29.5286424399, -98.5882048018)",4865000.0,48029181404.0
17694,2016,TX,Texas,San Antonio,Census Tract,4865000-48029180101,CrdPrv,11.0,10.0,11.9,"5,023","(29.4593322178, -98.5365961315)",4865000.0,48029180101.0
17708,2016,TX,Texas,San Antonio,Census Tract,4865000-48029160600,CrdPrv,17.1,15.7,18.5,"4,899","(29.4113726536, -98.5537033011)",4865000.0,48029160600.0
18055,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121111,CrdPrv,11.9,11.0,12.7,"6,591","(29.5677956591, -98.3980016731)",4865000.0,48029121111.0
18097,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121910,CrdPrv,8.9,7.9,10.0,"2,249","(29.6178348204, -98.3922058559)",4865000.0,48029121910.0
18278,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121115,CrdPrv,8.3,7.5,9.2,"5,141","(29.5753750814, -98.4534243302)",4865000.0,48029121115.0
18767,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181601,CrdPrv,11.4,10.3,12.4,"3,001","(29.473278974, -98.6055942381)",4865000.0,48029181601.0
18850,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121000,CrdPrv,11.1,10.3,12.1,"7,095","(29.5309800792, -98.4447487176)",4865000.0,48029121000.0
18865,2016,TX,Texas,San Antonio,Census Tract,4865000-48029141900,CrdPrv,14.1,12.5,15.7,82,"(29.3581276628, -98.3388876315)",4865000.0,48029141900.0
18956,2016,TX,Texas,San Antonio,Census Tract,4865000-48029110700,CrdPrv,14.6,13.4,15.9,"1,398","(29.4393877356, -98.5040419694)",4865000.0,48029110700.0
19122,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181100,CrdPrv,9.8,9.1,10.5,"5,665","(29.5269346353, -98.5502791231)",4865000.0,48029181100.0
19157,2016,TX,Texas,San Antonio,Census Tract,4865000-48029190902,CrdPrv,10.5,9.4,11.5,"3,783","(29.4961356203, -98.4853869667)",4865000.0,48029190902.0
19254,2016,TX,Texas,San Antonio,Census Tract,4865000-48029170402,CrdPrv,15.4,13.7,17.2,"5,197","(29.4342883713, -98.5355357606)",4865000.0,48029170402.0
19325,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181711,CrdPrv,10.6,9.6,11.5,"7,741","(29.5093025955, -98.6526996662)",4865000.0,48029181711.0
19348,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171919,CrdPrv,11.8,10.6,13.3,277,"(29.3870235232, -98.6817147652)",4865000.0,48029171919.0
19428,2016,TX,Texas,San Antonio,Census Tract,4865000-48029180501,CrdPrv,13.3,11.9,14.7,"4,536","(29.4702078096, -98.5896328102)",4865000.0,48029180501.0
19455,2016,TX,Texas,San Antonio,Census Tract,4865000-48029150800,CrdPrv,17.7,16.1,19.4,"3,165","(29.3663016934, -98.4771631667)",4865000.0,48029150800.0
19456,2016,TX,Texas,San Antonio,Census Tract,4865000-48029130402,CrdPrv,18.5,17.4,19.6,"3,972","(29.4055240519, -98.4405753668)",4865000.0,48029130402.0
19555,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171920,CrdPrv,11.6,10.5,12.7,"3,256","(29.4073315668, -98.6690066309)",4865000.0,48029171920.0
19630,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171802,CrdPrv,16.1,14.7,17.6,"6,328","(29.4054684215, -98.6359596899)",4865000.0,48029171802.0
19659,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181003,CrdPrv,13.5,12.1,15.0,"6,296","(29.5219141771, -98.5648013802)",4865000.0,48029181003.0
19730,2016,TX,Texas,San Antonio,Census Tract,4865000-48029141102,CrdPrv,15.7,14.3,17.2,"3,973","(29.3626957147, -98.4453441869)",4865000.0,48029141102.0
19771,2016,TX,Texas,San Antonio,Census Tract,4865000-48029152000,CrdPrv,14.8,13.4,16.1,"1,896","(29.2832765912, -98.5340685206)",4865000.0,48029152000.0
19835,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181822,CrdPrv,9.8,9.0,10.7,"4,917","(29.5250503802, -98.6250842174)",4865000.0,48029181822.0
19840,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181506,CrdPrv,11.9,10.6,13.5,"1,067","(29.4854407074, -98.598704238)",4865000.0,48029181506.0
19841,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181725,CrdPrv,12.7,11.8,13.7,"5,411","(29.4669031157, -98.6308916676)",4865000.0,48029181725.0
20120,2016,TX,Texas,San Antonio,Census Tract,4865000-48029191809,CrdPrv,9.2,8.3,10.2,997,"(29.6688381786, -98.4969192943)",4865000.0,48029191809.0
20121,2016,TX,Texas,San Antonio,Census Tract,4865000-48029150600,CrdPrv,15.5,14.4,16.9,"4,371","(29.375288786, -98.5104995041)",4865000.0,48029150600.0
20346,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121803,CrdPrv,11.8,10.9,12.7,"4,549","(29.5548005016, -98.3671632783)",4865000.0,48029121803.0
20409,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181731,CrdPrv,10.7,9.8,11.6,"7,203","(29.5026424305, -98.6726613968)",4865000.0,48029181731.0
20438,2016,TX,Texas,San Antonio,Census Tract,4865000-48029120400,CrdPrv,5.2,4.4,6.2,855,"(29.466894123, -98.4433669735)",4865000.0,48029120400.0
