,Year,StateAbbr,StateDesc,CityName,GeographicLevel,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
14294,2016,CA,California,Los Angeles,Census Tract,0644000-06037108102,CrdPrv,8.2,7.5,9.0,"3,430","(34.2804585587, -118.555066583)",644000.0,6037108102.0
14324,2016,CA,California,Los Angeles,Census Tract,0644000-06037265410,CrdPrv,8.0,7.2,9.0,"1,576","(34.0669760946, -118.464416923)",644000.0,6037265410.0
14399,2016,CA,California,Los Angeles,Census Tract,0644000-06037265601,CrdPrv,8.9,8.0,9.9,"2,890","(34.0558598925, -118.432725888)",644000.0,6037265601.0
14456,2016,CA,California,Los Angeles,Census Tract,0644000-06037265700,CrdPrv,8.3,7.6,9.3,"4,720","(34.0632000482, -118.423685577)",644000.0,6037265700.0
14549,2016,CA,California,Los Angeles,Census Tract,0644000-06037119310,CrdPrv,13.0,11.8,14.3,"3,871","(34.2453913047, -118.450504944)",644000.0,6037119310.0
14582,2016,CA,California,Los Angeles,Census Tract,0644000-06037207501,CrdPrv,8.1,7.3,9.0,"2,218","(34.0564422008, -118.252967488)",644000.0,6037207501.0
14583,2016,CA,California,Los Angeles,Census Tract,0644000-06037241110,CrdPrv,17.7,16.4,19.1,"3,074","(33.9364941051, -118.27169764)",644000.0,6037241110.0
14598,2016,CA,California,Los Angeles,Census Tract,0644000-06037134720,CrdPrv,11.9,10.9,13.0,"4,594","(34.2046448544, -118.568812052)",644000.0,6037134720.0
14616,2016,CA,California,Los Angeles,Census Tract,0644000-06037207102,CrdPrv,14.1,12.8,15.4,"2,553","(34.0592851352, -118.239509697)",644000.0,6037207102.0
14637,2016,CA,California,Los Angeles,Census Tract,0644000-06037128102,CrdPrv,16.6,15.5,17.7,"4,795","(34.1902959693, -118.444350561)",644000.0,6037128102.0
14639,2016,CA,California,Los Angeles,Census Tract,0644000-06037190901,CrdPrv,14.9,13.3,16.4,"4,742","(34.0944222077, -118.312477099)",644000.0,6037190901.0
14655,2016,CA,California,Los Angeles,Census Tract,0644000-06037204110,CrdPrv,15.8,14.2,17.4,"3,078","(34.03878697, -118.198714474)",644000.0,6037204110.0
14686,2016,CA,California,Los Angeles,Census Tract,0644000-06037101122,CrdPrv,10.7,9.7,11.7,"3,664","(34.2677215381, -118.290147139)",644000.0,6037101122.0
14690,2016,CA,California,Los Angeles,Census Tract,0644000-06037218600,CrdPrv,13.7,12.6,14.9,"3,142","(34.037185241, -118.342741218)",644000.0,6037218600.0
14692,2016,CA,California,Los Angeles,Census Tract,0644000-06037267902,CrdPrv,8.5,7.7,9.4,"3,375","(34.0475521969, -118.420198157)",644000.0,6037267902.0
14713,2016,CA,California,Los Angeles,Census Tract,0644000-06037141202,CrdPrv,9.5,8.4,10.8,"2,800","(34.1471798018, -118.442360268)",644000.0,6037141202.0
14732,2016,CA,California,Los Angeles,Census Tract,0644000-06037189202,CrdPrv,8.8,7.9,9.9,"2,718","(34.1113224923, -118.29575657)",644000.0,6037189202.0
14769,2016,CA,California,Los Angeles,Census Tract,0644000-06037231100,CrdPrv,19.6,18.4,20.8,"3,350","(34.0152478257, -118.276557873)",644000.0,6037231100.0
14774,2016,CA,California,Los Angeles,Census Tract,0644000-06037189101,CrdPrv,10.2,9.0,11.7,"2,743","(34.10473676, -118.288504971)",644000.0,6037189101.0
14811,2016,CA,California,Los Angeles,Census Tract,0644000-06037127712,CrdPrv,14.2,13.2,15.2,"2,991","(34.1974208266, -118.470078477)",644000.0,6037127712.0
14885,2016,CA,California,Los Angeles,Census Tract,0644000-06037183101,CrdPrv,11.9,10.5,13.3,"3,922","(34.1225070609, -118.181787207)",644000.0,6037183101.0
14970,2016,CA,California,Los Angeles,Census Tract,0644000-06037186201,CrdPrv,10.4,9.6,11.4,"3,068","(34.1213123454, -118.218845746)",644000.0,6037186201.0
